Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
39,nothing,0.0,0.0,147960.906,164720.31,807720.625,349127.312,566598.75,1033772.875,1580658.125,1120321.5,656013.375,768319.25,1083908.25,896053.25,767911.937,495605.718,440522.937,-52.991,151.619,51.521,-114.586,73.279,19.64,-171.8,51.109,72.286,40.71,80.9,0.71,-9.96,27.109,11.2
40,nothing,0.0,0.0,214912.671,190497.718,467527.843,451458.75,447538.875,504629.343,1792552.375,1154123.875,987733.312,1449720.75,6376831.0,614014.937,681558.562,342622.562,670707.75,11.888,-75.88,-110.643,57.628,-15.366,-64.521,-169.778,-36.728,13.568,29.132,-172.176,-40.236,-62.729,-92.922,-113.768
41,nothing,0.0,0.0,202683.531,199589.531,570727.437,414487.31,503899.812,461697.156,1319673.5,1447682.875,780872.812,1148760.25,3014639.25,571476.437,752612.562,329112.343,662929.437,11.823,-73.696,-111.417,59.481,-16.825,-61.3,-171.563,-43.367,10.412,39.83,172.24,-33.169,-56.841,-89.364,-104.601
42,nothing,0.0,0.0,338865.718,219311.765,878442.0,365844.31,2053310.625,1437773.375,815909.25,922669.562,444267.281,1550489.125,842565.937,514760.781,399562.62,695398.687,835190.0,-143.13,161.2,-144.483,131.499,36.247,178.143,134.85,78.446,60.37,-35.885,104.59,16.492,1.158,-21.201,16.201
43,nothing,0.0,0.0,347187.312,217267.89,803872.25,378694.562,2456762.25,1695627.625,911697.0,809267.375,434560.375,1840417.5,808037.937,489557.156,434740.437,690295.625,770996.312,-135.816,161.586,-147.446,129.281,49.255,178.798,131.194,73.519,56.224,-25.774,96.88,11.48,0.775,-28.61,22.738
44,nothing,0.0,0.0,157101.156,213971.796,228274.906,198713.421,198596.187,188143.468,235281.843,191513.515,208241.515,268412.906,223617.359,207837.468,198762.156,202660.937,236942.468,-178.414,117.231,-164.977,154.24,-158.997,-179.123,-172.778,-178.8,-179.66,-171.344,-172.45,-165.635,-178.51,-176.91,-173.816
45,nothing,0.0,0.0,227268.328,169180.406,807891.312,390536.156,313805.906,265218.562,338041.93,385751.937,294469.593,226279.687,215747.421,164496.234,164255.31,126503.164,125349.109,-14.18,12.958,-119.612,-164.863,-91.412,-67.917,-81.958,-71.372,-80.751,-79.948,-87.882,-82.837,-67.128,-77.882,-83.167
46,nothing,0.0,0.0,133692.5,98690.156,146476.546,316386.875,145882.656,148256.0,166617.625,144282.468,141200.531,134560.281,135053.515,132484.89,119605.15,110611.851,108493.781,-175.612,-148.82,-170.556,-134.35,-138.243,-147.527,-150.947,-142.65,-138.452,-124.691,-133.289,-125.47,-122.459,-118.776,-113.289
47,nothing,0.0,0.0,188428.625,166219.937,352029.125,457838.968,304726.125,650282.75,1504047.25,5694329.5,829947.437,2353435.75,1462706.75,542842.312,674472.562,473615.718,773751.687,-74.679,86.595,-14.613,131.344,4.451,-53.983,55.5,0.451,32.748,-90.133,-84.759,-1.559,-28.152,-26.217,-39.41
48,nothing,0.0,0.0,284243.5,150202.234,365472.937,393656.281,689618.5,766269.875,558494.875,751280.562,1580352.875,717994.5,830639.0,533801.375,483824.437,347675.593,515703.906,-124.651,30.606,-79.186,14.478,-62.403,-47.767,-62.17,-3.61,39.569,-58.68,-45.167,-46.555,-34.894,-41.646,-78.627
49,nothing,0.0,0.0,138314.578,113837.703,178966.14,138891.937,257221.46,172408.31,184239.531,180430.5,262336.687,252606.453,191692.937,178238.734,190863.156,196201.25,236830.15,-157.86,-140.794,148.45,168.127,-165.505,174.556,175.512,175.615,172.433,160.406,165.235,161.268,165.25,163.67,139.332
50,nothing,0.0,0.0,297546.625,257216.875,887332.0,216025.656,1917199.625,270997.843,235771.93,297923.593,381388.437,228350.468,189135.125,178546.234,155878.812,114801.773,117447.796,-35.928,158.993,-34.35,-111.155,-29.18,-73.284,-91.86,-82.843,-94.926,-81.236,-93.134,-75.548,-74.453,-82.874,-89.353
51,nothing,0.0,0.0,185447.515,127505.23,155256.46,127857.101,258046.484,184032.578,197343.546,197152.421,215562.562,208255.546,244622.64,226421.343,196099.39,226245.625,235802.984,-161.19,-126.1,163.87,-172.577,-172.597,-173.44,-168.969,-173.435,-176.963,-168.283,-177.434,-168.735,-168.957,-171.47,-167.513
52,nothing,0.0,0.0,343262.968,217510.281,235904.796,200091.39,342574.187,278303.906,232900.921,301987.375,291695.343,213336.484,200605.734,168901.437,157366.578,134790.609,114667.453,-75.404,94.429,-103.819,-96.347,-30.735,-85.782,-97.535,-91.845,-87.821,-82.258,-89.328,-80.558,-74.159,-79.415,-92.494
